Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
  9.45      0.12     0.12 12123434     0.00     0.00  ast::SemValue::~SemValue()
  9.45      0.24     0.12    60017     0.00     0.01  yyparse()
  9.45      0.36     0.12        1   120.00   120.00  BufferPoolManager::BufferPoolManager(unsigned long, DiskManager*)
  7.87      0.46     0.10  9512929     0.00     0.00  yyerror(YYLTYPE*, char const*)
  6.30      0.54     0.08                             _init
  3.94      0.59     0.05   995525     0.00     0.00  yylex(ast::SemValue*, YYLTYPE*)
  3.94      0.64     0.05    25000     0.00     0.01  QlManager::select_from(std::unique_ptr<AbstractExecutor, std::default_delete<AbstractExecutor> >, std::vector<TabCol, std::allocator<TabCol> >, Context*)
  3.15      0.68     0.04    25000     0.00     0.00  Analyze::analyze_select(std::shared_ptr<ast::SelectStmt> const&, std::shared_ptr<Query>)
  2.36      0.71     0.03   205026     0.00     0.00  EnsureStatementTransaction(long*, Context*, IsolationLevel)
  2.36      0.74     0.03   195662     0.00     0.00  BufferPoolManager::fetch_page(PageId)
  2.36      0.77     0.03    60017     0.00     0.00  Portal::start(std::shared_ptr<Plan>, Context*)
  1.57      0.79     0.02 12228434     0.00     0.00  std::vector<std::shared_ptr<ast::BinaryExpr>, std::allocator<std::shared_ptr<ast::BinaryExpr> > >::~vector()
  1.57      0.81     0.02   470000     0.00     0.00  Analyze::analyze_select(std::shared_ptr<ast::SelectStmt> const&, std::shared_ptr<Query>)::{lambda(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&)#1}::operator()(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&) const
  1.57      0.83     0.02   295000     0.00     0.00  __tcf_ZL10LogTypeStr
  1.57      0.85     0.02   196013     0.00     0.00  LRUReplacer::pin(int)
  1.57      0.87     0.02    90000     0.00     0.00  TransactionManager::IsMvccTxn(Transaction*) const
  1.57      0.89     0.02    35000     0.00     0.00  IxIndexHandle::lower_bound(char const*)
  1.57      0.91     0.02    35000     0.00     0.00  IndexScanExecutor::~IndexScanExecutor()
  1.57      0.93     0.02    10045     0.00     0.00  std::_UninitDestroyGuard<IndexMeta*, void>::~_UninitDestroyGuard()
  1.57      0.95     0.02                             client_handler(void*)
  0.79      0.96     0.01  4236579     0.00     0.00  std::_Sp_counted_base<(__gnu_cxx::_Lock_policy)2>::_M_release()
  0.79      0.97     0.01   680000     0.00     0.00  std::vector<Condition, std::allocator<Condition> >::~vector()
  0.79      0.98     0.01   320556     0.00     0.00  std::vector<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::allocator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > >::~vector()
